logdir,task,ckpt,episode,t,abs_kl
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,193,46.67753982543945
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,194,48.5521354675293
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,195,50.906150817871094
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,196,49.54307174682617
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,197,49.72319793701172
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,198,51.91176223754883
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,199,52.218143463134766
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,200,50.19780349731445
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,201,48.912628173828125
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,202,48.91666030883789
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,203,51.20271301269531
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,204,48.422340393066406
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,205,49.41501998901367
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,206,51.39436340332031
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,207,51.39436340332031
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,208,50.842735290527344
